ID,Experience,Time,Skill,Subskill,Score
9,Guided,Post,Applicability,Everyday,3
10,Guided,Post,Applicability,Everyday,4
11,Guided,Post,Applicability,Everyday,1
12,Guided,Post,Applicability,Everyday,4
13,Guided,Post,Applicability,Everyday,2
14,Guided,Post,Applicability,Everyday,2
15,Guided,Post,Applicability,Everyday,2
16,Guided,Post,Applicability,Everyday,3
17,Guided,Post,Applicability,Everyday,2
18,Guided,Post,Applicability,Everyday,2
19,Guided,Post,Applicability,Everyday,3
20,Guided,Post,Applicability,Everyday,
21,Guided,Post,Applicability,Everyday,1
22,Guided,Post,Applicability,Everyday,3
23,Guided,Post,Applicability,Everyday,
24,Guided,Post,Applicability,Everyday,4
25,Guided,Post,Applicability,Everyday,2
26,Guided,Post,Applicability,Everyday,5
27,Guided,Post,Applicability,Everyday,4
28,Guided,Post,Applicability,Everyday,1
unid2,Autonomous,Post,Applicability,Everyday,4
ALI-22,Autonomous,Post,Applicability,Everyday,4
AMY-31,Autonomous,Post,Applicability,Everyday,
AND-71,Autonomous,Post,Applicability,Everyday,4
ASH-36,Autonomous,Post,Applicability,Everyday,3
BEC-10,Autonomous,Post,Applicability,Everyday,
BUF-12,Autonomous,Post,Applicability,Everyday,4
CAR-24,Autonomous,Post,Applicability,Everyday,3
CIN-80,Autonomous,Post,Applicability,Everyday,
COL-11,Autonomous,Post,Applicability,Everyday,3
CON-11,Autonomous,Post,Applicability,Everyday,3
CON-68,Autonomous,Post,Applicability,Everyday,3
DON-64,Autonomous,Post,Applicability,Everyday,4
HUI-14,Autonomous,Post,Applicability,Everyday,3
IDA-HA,Autonomous,Post,Applicability,Everyday,3
JUD-32,Autonomous,Post,Applicability,Everyday,2
KYU-13,Autonomous,Post,Applicability,Everyday,
LAD-11,Autonomous,Post,Applicability,Everyday,5
LAU-21,Autonomous,Post,Applicability,Everyday,
LAU-91,Autonomous,Post,Applicability,Everyday,
LIS-80,Autonomous,Post,Applicability,Everyday,
16-Mar,Autonomous,Post,Applicability,Everyday,3
31-Mar,Autonomous,Post,Applicability,Everyday,
PAT-22,Autonomous,Post,Applicability,Everyday,1
ROQ-20,Autonomous,Post,Applicability,Everyday,5
RHO-36,Autonomous,Post,Applicability,Everyday,
RHO-80,Autonomous,Post,Applicability,Everyday,3
SHA-26,Autonomous,Post,Applicability,Everyday,5
TAM-30,Autonomous,Post,Applicability,Everyday,4
TRE-15,Autonomous,Post,Applicability,Everyday,
unid3,Autonomous,Post,Applicability,Everyday,
unid4,Autonomous,Post,Applicability,Everyday,
TIC-21,Autonomous,Post,Applicability,Everyday,3
CAR-91,Autonomous,Post,Applicability,Everyday,4
LIL-20,Autonomous,Post,Applicability,Everyday,5
unid,Autonomous,Post,Applicability,Everyday,2
1,Guided,Pre,Applicability,Discovery,3
2,Guided,Pre,Applicability,Discovery,5
3,Guided,Pre,Applicability,Discovery,3
4,Guided,Pre,Applicability,Discovery,5
5,Guided,Pre,Applicability,Discovery,5
6,Guided,Pre,Applicability,Discovery,4
7,Guided,Pre,Applicability,Discovery,5
8,Guided,Pre,Applicability,Discovery,4
9,Guided,Pre,Applicability,Discovery,5
10,Guided,Pre,Applicability,Discovery,2
11,Guided,Pre,Applicability,Discovery,5
12,Guided,Pre,Applicability,Discovery,4
13,Guided,Pre,Applicability,Discovery,5
14,Guided,Pre,Applicability,Discovery,3
15,Guided,Pre,Applicability,Discovery,4
16,Guided,Pre,Applicability,Discovery,4
17,Guided,Pre,Applicability,Discovery,5
18,Guided,Pre,Applicability,Discovery,4
19,Guided,Pre,Applicability,Discovery,5
20,Guided,Pre,Applicability,Discovery,5
21,Guided,Pre,Applicability,Discovery,5
22,Guided,Pre,Applicability,Discovery,5
23,Guided,Pre,Applicability,Discovery,2
24,Guided,Pre,Applicability,Discovery,5
25,Guided,Pre,Applicability,Discovery,4
26,Guided,Pre,Applicability,Discovery,4
27,Guided,Pre,Applicability,Discovery,4
28,Guided,Pre,Applicability,Discovery,4
ALI-22,Autonomous,Pre,Applicability,Discovery,4
AMY-31,Autonomous,Pre,Applicability,Discovery,3
AND-71,Autonomous,Pre,Applicability,Discovery,4
ASH-36,Autonomous,Pre,Applicability,Discovery,NA
BEC-10,Autonomous,Pre,Applicability,Discovery,3
BUF-12,Autonomous,Pre,Applicability,Discovery,4
CAR-24,Autonomous,Pre,Applicability,Discovery,1
CIN-80,Autonomous,Pre,Applicability,Discovery,1
COL-11,Autonomous,Pre,Applicability,Discovery,NA
CON-11,Autonomous,Pre,Applicability,Discovery,2
CON-68,Autonomous,Pre,Applicability,Discovery,3
DON-64,Autonomous,Pre,Applicability,Discovery,
HUI-14,Autonomous,Pre,Applicability,Discovery,3
IDA-HA,Autonomous,Pre,Applicability,Discovery,2
JUD-32,Autonomous,Pre,Applicability,Discovery,2
KYU-13,Autonomous,Pre,Applicability,Discovery,4
LAD-11,Autonomous,Pre,Applicability,Discovery,2
LAU-21,Autonomous,Pre,Applicability,Discovery,2
LAU-91,Autonomous,Pre,Applicability,Discovery,NA
LIS-80,Autonomous,Pre,Applicability,Discovery,1
16-Mar,Autonomous,Pre,Applicability,Discovery,1
31-Mar,Autonomous,Pre,Applicability,Discovery,4
PAT-22,Autonomous,Pre,Applicability,Discovery,1
ROQ-20,Autonomous,Pre,Applicability,Discovery,3
RHO-36,Autonomous,Pre,Applicability,Discovery,4
RHO-80,Autonomous,Pre,Applicability,Discovery,2
SHA-261,Autonomous,Pre,Applicability,Discovery,NA
TAM-30,Autonomous,Pre,Applicability,Discovery,1
TRE-15,Autonomous,Pre,Applicability,Discovery,NA
unid1,Autonomous,Pre,Applicability,Discovery,3
1,Guided,Pre,Applicability,Skills,5
2,Guided,Pre,Applicability,Skills,3
3,Guided,Pre,Applicability,Skills,1
